bear_id,date,num_points,centroid_x,centroid_y,min_x,max_x,min_y,max_y,sex,age,season,total_distance,avg_speed
Bear10,2012-10-20,24,421750.8951625,681841.9153083334,420310.3364,422780.0579,680653.9569,682469.1331,M,A,Hyperphagia,5500.739880962093,239.16260352009098
Bear10,2012-10-21,20,420564.99351500004,681845.569785,420037.7446,421419.4821,681417.46,682462.3897,M,A,Hyperphagia,3704.0047757685675,194.94761977729303
Bear10,2012-10-22,23,420443.64927826094,681672.5535347825,420134.2826,420748.1663,681443.7362,681939.6758,M,A,Hyperphagia,2079.315456531673,94.51433893325787
Bear10,2012-10-23,23,420883.2037304348,682053.9570260869,419971.6925,421956.8243,681539.5928,682951.2954,M,A,Hyperphagia,3927.8217671122216,178.53735305055554
Bear10,2012-10-24,24,422203.2414958333,683356.5653041666,421216.5268,426504.9607,682903.3902,684233.979,M,A,Hyperphagia,7336.649041234841,318.984740923254
Bear10,2012-10-25,24,427849.39520416665,682138.0441249999,426772.1437,428999.8028,681383.6941,683219.2937,M,A,Hyperphagia,4456.781862192678,193.77312444315993
Bear10,2012-10-26,20,429142.76569499995,681374.60068,429003.4196,429377.0912,680673.5368,681656.659,M,A,Hyperphagia,1857.801148396563,97.77900781034542
Bear10,2012-10-27,24,429758.4918250001,680888.6818833334,429327.769,430143.7009,680743.4512,680979.3498,M,A,Hyperphagia,1980.4464542887508,86.10636757777178
Bear10,2012-10-28,23,429870.5240086956,680695.3141913043,429331.4101,431006.873,678536.0864,680968.2516,M,A,Hyperphagia,3944.1798303884393,179.2809013812927
Bear10,2012-10-29,21,431729.830804762,680241.3622761905,431012.2232,432233.923,678523.426,680986.5638,M,A,Hyperphagia,4017.7785284041975,200.88892642020988
Bear10,2012-10-30,21,430147.759047619,680902.997204762,429519.3281,431471.4127,680719.8701,681017.4895,M,A,Hyperphagia,2347.9047210447743,117.39523605223872
Bear10,2012-10-31,23,429681.9193130434,680956.8995173912,429096.8316,429994.8527,680762.6704,681240.1765,M,A,Hyperphagia,2257.8626791531524,102.63012177968875
Bear10,2012-11-01,21,428354.8332380952,681924.2237190476,424075.9389,429270.1597,681513.843,683960.1417,M,A,Hyperphagia,7368.615832744275,368.43079163721376
Bear10,2012-11-02,21,421043.68069047615,681977.633204762,419817.8447,421930.6559,681323.1263,682615.2946,M,A,Hyperphagia,4295.17778045752,214.75888902287602
Bear10,2012-11-03,24,422626.1740000001,680801.0625916667,422382.3619,423018.8142,680537.1733,682298.927,M,A,Hyperphagia,3095.0247168257583,134.56629203590253
Bear10,2012-11-04,24,427280.03842083336,682597.18695,423349.7405,429062.0309,681445.0583,683487.5075,M,A,Hyperphagia,7303.0234824820855,317.5227601079168
Bear10,2012-11-05,23,429707.16298695654,680962.2959347826,429058.0196,430079.2368,680862.5907,681461.6222,M,A,Hyperphagia,2152.417116660279,97.83714166637633
Bear10,2012-11-06,21,429642.9093428572,680930.0118904763,429335.5412,429847.0009,680805.1382,681027.8438,M,A,Hyperphagia,1412.4010449423497,70.62005224711748
Bear10,2012-11-07,24,430211.4074208333,680882.7636541667,429332.7656,431241.7938,680738.4129,680971.4485,M,A,Hyperphagia,2185.1722867556946,95.00749072850846
Bear10,2012-11-08,20,430148.47244,680911.270355,429571.5495,431229.252,680799.2383,680969.1296,M,A,Hyperphagia,1869.5276204894267,98.39619055207508
Bear10,2012-11-09,23,430375.8487,680905.8082695651,429464.0093,431533.5352,680690.7283,681005.3722,M,A,Hyperphagia,2675.2633594389554,121.60287997449797
